#,Action,New,Description,Parameters,Control Required, Example(Values)
61,CLICK_TEXT_VAR,*,Clicks a text by user defined value,XYZ,No,XYZ
62,CLICK_UNTIL_NEW_WINDOW,-,Clicks an element until a new window is visible,None,Yes,Value not Required
63,CLICK_VAR,*,Clicks an element that has a variant value that could be changed run time,Variant value,Yes,Age
64,CLICK_WHILE_ELEMENT_NOT_VISIBLE,-,Clicks an element while another element is not visible,Other Element,Yes,Element Page{C}Element Label
65,CLICK_WHILE_ELEMENT_VISIBLE,-,Clicks an element while another element is visible,Other Element,Yes,Value not Required
66,CLICK_WHILE_TEXT_NOT_VISIBLE,-,Clicks an element until text is visible,Text to be visible,Yes,Text value
67,CLICK_WHILE_VISIBLE,-,Clicks an element while it is visible,None,Yes,Value not Required
68,CLICK_WHILE_VISIBLE_VAR,*,Clicks an element while it is visible using a variable value,variable value,Yes,variable value or button name
69,CLOSE,-,Closes the current page,None,No,Value not Required
70,COLLECT AUTEP,-,Collects element ids names and classes into a HTML file,Name tags delimited by colons,No,Value not Required
71,COLLECT BARCHART TIPS,*,Collects Bar chart ToolTip Value by passed defined value,None,No,Value not Required
72,COLLECT_CELL_VALUE,-,Collect a cell value into a specified Global Variable,Column name{P}RowIndex{P}GV Name,Yes,FirstName{P}2{P}FirstNameRow2
73,COLLECT_CHART_TOOLTPS_VAR,*,Collects Chart ToolTip Value by passed defined value,Defined value,No,Value not Required
74,COLLECT_FULL_PIE_CHART_TOOLTIPS_VAR,-,Collects full chart ToolTip Value by passed defined value,None,No,Value not Required
75,COLLECT_LOCATION_X,-,Collects an element x location into a global variable,Global Variable name,Yes,Location x
76,COLLECT_ROW_INDEX,-,Collects a global variable RowIndex given a row value under a specific table column name,Column name{P}column Row value,Yes,Agiliti Asset ID{P}504986
77,COLLECT_TEXT_VAR,*,Collects/Stores an element text that has a variant value that could be changed run time into (Collect Param Name),Variant value,Yes,Hello world
78,COMPARE_DATES,-,Compares Dates,Date1{P}Date2,No,03-02-2021{P}03-02-2021
